0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00058;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00058;;C. 58;;;;ARTCIC000058;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;JA 1891 (1), 58. — Finot1915_01: 51.;E&R XIII, 146. — JA 1888 (1), 96. — Parmentier1909_01: 220.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00059;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00059;;C. 59;;;;ARTCIC000059;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;JA 1888 (1), 73. — Parmentier1909_01: 220.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00060;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;argr$sapi;2022-07-31;addition;;;DHARMA;CIC;CC0;INSCIC00060;;C. 60;;;rock wall beside waterfall;ARTCIC000060;;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;;14;;;;;;;;;;;;;BEFEO II, 306. — Parmentier1909_01: 220.;;Est. EFEO 285 pas retrouvé.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-07-04;completion;;;DHARMA;CIC;CC0;INSCIC00061;;C. 61;;;front (A), back (B) and sides (c, d) ;ARTCIC000061;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;67;89;A:23§B:?§B:12§c:22§d:22;A:104+x40$B:?$c:102x22$d:102x22;1,5;1,5;;903-904;low;internal date;;;;Huber1911_01: 282-283.;Coedes1908_01: 44 (no. 61)$Parmentier1909_01: 236$Finot1915_01:11$Coedes1923_01: 16-17 (no. 61)$Majumdar1927_01: part III, 109-111$Golzio2004_01: 92-93.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00061_2;;C. 61;;;A2;ARTCIC000061;;;;;Old Cham;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO XI, 282.;Parmentier1909_01: 236. — Finot1915_01: 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00061_1;;C. 61;;;A1;ARTCIC000061;;;;;Sanskrit;;;;;;;;;;;;incised;;22;;;;;;;;;;;;BEFEO XI, 282.;Parmentier1909_01: 236. — Finot1915_01: 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00061_4;;C. 61;;;c;ARTCIC000061;;;;;Old Cham;;;;;;;;;;;;incised;;22;;;;;;;;;;;;BEFEO XI, 282.;Parmentier1909_01: 236. — Finot1915_01: 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00061_5;;C. 61;;;d;ARTCIC000061;;;;;Old Cham;;;;;;;;;;;;incised;;22;;;;;;;;;;;;BEFEO XI, 282.;Parmentier1909_01: 236. — Finot1915_01: 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00061_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00061_3;;C. 61;;;B;ARTCIC000061;;;;;Sanskrit Unknown;;;;;;;;;;;;incised;;(?);;;;;;;;;;;;BEFEO XI, 282.;Parmentier1909_01: 236. — Finot1915_01: 11.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00062;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00062;;C. 62;;;;ARTCIC000062;;;;;Old Cham;;;;;;;;;;;;incised;;11;;;;;;;;;;;;;BEFEO IV, 492. — Parmentier1909_01: 233.;;Cf. *QNhgai1 et *QNgai2;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00063;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2021-11-26;completion;;;DHARMA;CIC;CC0;INSCIC00063;;C. 63;;;front (A) and lateral (B);ARTCIC000063;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;12;12;A:9§B:3/4;A:44x43+$B:25x30;1,5;1,5;;0950-1000;low;lettering;;;;Griffiths-Schoettel-TranQuyetChinh2017_01: 35-36;Aymonier1896_01: 95$Aymonier1896_02: 150-151$Coedes1908_01: 8$Parmentier1909_01: 268, 278$Finot1915_01: 11$Coedes+Parmentier1923_01: 16-17;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00064_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00064_1;;C. 64;;;1er fragment;ARTCIC000064_1;;;;;Old Cham;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — Parmentier1909_01: 278.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00064_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00064_2;;C. 64;;;2e fragment;ARTCIC000064_2;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — Parmentier1909_01: 278.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00064_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00064_3;;C. 64;;;3e fragment;ARTCIC000064_3;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;;"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — Parmentier1909_01: 278.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00065;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00065;;C. 65;;;;ARTCIC000065;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;Parmentier1909_01: 283.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00066;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi ;2021-12-13;completion;;;DHARMA;CIC;CC0;INSCIC00066;;C. 66;;;"front (A), back (B) and laterals (c; d) ";ARTCIC000066;inaugurative;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;54;54;A:26§B:25§c:23§d:31;;;;;0875-0876;;internal date;;;;Finot1904_01: 84-99;Aymonier1896_02: 147-148$Parmentier1909_01: 484-485$Majumdar1927_01: part III, 74-88$Golzio2004_01: 60-73$Takashima+Sawada2006_01: 15-21;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00067_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00067_1;;C. 67;;;A;ARTCIC000067;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 17;;;;;;;;;;;;BEFEO IV, 105.;JA 1896 (1), 147. — Parmentier1909_01: 282.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00067_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00067_2;;C. 67;;;B;ARTCIC000067;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 15 fragments de ligne;;;;;;;;;;;;BEFEO IV, 105.;JA 1896 (1), 147. — Parmentier1909_01: 282.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00067_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00067_3;;C. 67;;;c;ARTCIC000067;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 14;;;;;;;;;;;;BEFEO IV, 105.;JA 1896 (1), 147. — Parmentier1909_01: 282.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00067_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00067_4;;C. 67;;;d;ARTCIC000067;;;;;Old Cham;;;;;;;;;;;;engraved;;6 fragments de ligne;;;;;;;;;;;;BEFEO IV, 105.;JA 1896 (1), 147. — Parmentier1909_01: 282.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00068;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00068;;C. 68;;;;ARTCIC000068;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO IV, 112.;Parmentier1909_01: 450.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00069;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00069;;C. 69;;;;ARTCIC000069;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO III, 85.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00070;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00070;;C. 70;;;;ARTCIC000070;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO III, 85.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00071;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00071;;C. 71;;;;ARTCIC000071;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO III, 85.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00072;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-07-06;completion;;;DHARMA;CIC;CC0;INSCIC00072;;C. 72;;;front (A) and back (B)  ;ARTCIC000072;donative - religious_land_grant;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;late Brahmi;;;;;;;;;;engraved;21;21;A:11§B:10;A:110x110$105x110;3;3,5;;;low;reign;;;;Finot1902_02: 187-190;Finot1903_05: 209$Finot1904_05: 917 (no I)$Coedes1908_01: 45 (no. 72)$Parmentier1909_01: 357$Finot1915_01:5$Coedes1923_01: 18-19 (no. 72)$Majumdar1927_01: part III, 4-8$Golzio2004_01: 2-4$Takashima+Sawada2006_01: 3-7.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00072_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00072_2;;C. 72;;;B;ARTCIC000072;;;;;Sanskrit;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO II, 187.;"BEFEO III, 209 ; IV, 9171 ; XV (2), 5. — Parmentier1909_01: 357.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00072_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00072_1;;C. 72;;;A;ARTCIC000072;;;;;Sanskrit;;;;;;;;;;;;engraved;;11;;;;;;;;;;;;BEFEO II, 187.;"BEFEO III, 209 ; IV, 9171 ; XV (2), 5. — Parmentier1909_01: 357.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00073_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00073_1;;C. 73;;;A;ARTCIC000073;;;;;Sanskrit;;;;;;;;;;;;engraved;;24;;;;;;;;;;;;BEFEO III, 206.;"BEFEO IV, 91711 ; XI, 264 ; XV (2), 5. — Parmentier1909_01: 357.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00073_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00073_2;;C. 73;;;B;ARTCIC000073;;;;;Sanskrit;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;BEFEO III, 206.;"BEFEO IV, 91711 ; XI, 264 ; XV (2), 5. — Parmentier1909_01: 357.";;Cœdès comptait 24 lignes.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00074_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00074_1;;C. 74;;;A;ARTCIC000074;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 11;;;;;;;;;;;;BEFEO IV, 932.;"BEFEO XI, 265 ; XV (2), 5. — Parmentier1909_01: 357.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00074_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00074_2;;C. 74;;;B;ARTCIC000074;;;;;Sanskrit;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;BEFEO IV, 932.;"BEFEO XI, 265 ; XV (2), 5. — Parmentier1909_01: 357.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00075;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00075;;C. 75;;;;ARTCIC000075;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO IV, 113.;"BEFEO IV, 933xi ; XV (2), 49. — Parmentier1909_01: 382.";;"Cœdès 1923, p. 151 n. 5 : « C. 75. — Placée ici suite d'une erreur imputable à une faute d'impression qui s'est glissée dans le tableau des inscriptions de Mĩ-sơn (BE., IV, 977), et qui donne pour origine à cette stèle le monument A1. » Le fait que Cœdès met ""Cour D"" sous Situation actuelle et non ""In situ"" semble être une simple incohérence.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00076;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00076;;C. 76;;;;ARTCIC000076;;;;;Old Cham;;;;;;;;;;;;engraved;;;;;;;;;;;;;;BEFEO IV, 977xxvi.;Parmentier1909_01: 357.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00077;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00077;;C. 77;;;;ARTCIC000077;;;;;Sanskrit;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;BEFEO IV, 977xxvi.;Parmentier1909_01: 357.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00078;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00078;;C. 78;;;;ARTCIC000078;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO IV, 899, 977xxvi. — Parmentier1909_01: 357.;;Confusion avec C. 76? Voir fichiers text. Photos des estampages dLdL faites.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00079;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00079;;C. 79;;;;ARTCIC000079;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO IV, 928v. —ECIC V.;Parmentier1909_01: 357.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00080;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00080;;C. 80;;;;ARTCIC000080;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;BEFEO IV, 929vii. — ECIC V.;Parmentier1909_01: 357.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00081_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00081_1;;C. 81;;;A;ARTCIC000081;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 12;;;;;;;;;;;;BEFEO IV, 928vi.;"BEFEO XI, 267 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00081_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00081_2;;C. 81;;;B;ARTCIC000081;;;;;Sanskrit;;;;;;;;;;;;engraved;;15;;;;;;;;;;;;BEFEO IV, 928vi.;"BEFEO XI, 267 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00081_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00081_3;;C. 81;;;c;ARTCIC000081;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;BEFEO IV, 928vi.;"BEFEO XI, 267 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00082;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00082;;C. 82;;;;ARTCIC000082;;;;;Old Cham;;;;;;;;;;;;engraved;;8;;;;;;;;;;;;BEFEO IV, 951xvii.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00083_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00083_3;;C. 83;;;Piédroit extérieur nord;ARTCIC000083;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO IV, 952xviii.;Finot1915_01: 52. — Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00083_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00083_4;;C. 83;;;Piédroit extérieur nord;ARTCIC000083;;;;;Old Cham;;;;;;;;;;;;engraved;;11 illisibles;;;;;;;;;;;;BEFEO IV, 952xviii.;Finot1915_01: 52. — Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00083_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00083_2;;C. 83;;;Piédroit extérieur nord;ARTCIC000083;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;BEFEO IV, 952xviii.;Finot1915_01: 52. — Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00083_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00083_1;;C. 83;;;Piédroit extérieur nord;ARTCIC000083;;;;;Old Cham;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;BEFEO IV, 952xviii.;Finot1915_01: 52. — Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00084_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00084_3;;C. 84;;;Piédroit extérieur sud;ARTCIC000084;;;;;Sanskrit;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO IV, 966xxii.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00084_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00084_2;;C. 84;;;2, Piédroit extérieur sud;ARTCIC000084;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO IV, 966xxii.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00084_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00084_1;;C. 84;;;1, Piédroit extérieur sud;ARTCIC000084;;;;;Sanskrit;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;BEFEO IV, 966xxii.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00085;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00085;;C. 85;;;Piédroit intérieur sud;ARTCIC000085;;;;;Sanskrit;;;;;;;;;;;;engraved;;19;;;;;;;;;;;;BEFEO IV, 969xxiii.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00086_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00086_1;;C. 86;;;Piédroit intérieur nord;ARTCIC000086_1;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO IV, 976xxv.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00086_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00086_2;;C. 86;;;Piédroit intérieur nord;ARTCIC000086_2;;;;;Old Cham;;;;;;;;;;;;engraved;;8;;;;;;;;;;;;BEFEO IV, 976xxv.;Parmentier1909_01: 382.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00087_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00087_1;;C. 87;;;A;ARTCIC000087;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 12;;;;;;;;;;;;BEFEO IV, 925iv.;"Finot1915_01: 190 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00087_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00087_2;;C. 87;;;B1;ARTCIC000087;;;;;Sanskrit;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO IV, 925iv.;"Finot1915_01: 190 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00087_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00087_3;;C. 87;;;B2;ARTCIC000087;;;;;Sanskrit;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;BEFEO IV, 925iv.;"Finot1915_01: 190 ; XIX (3), 11. — Parmentier1909_01: 381.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00088;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00088;;C. 88;;;;ARTCIC000088;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO IV, 977xxvi.;;photos des estampages dLdL faites;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00089_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00089_1;;C. 89;;;A;ARTCIC000089;;;;;Old Cham;;;;;;;;;;;;engraved;;32;;;;;;;;;;;;BEFEO IV, 946xvi.;Parmentier1909_01: 400.;;"coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00089_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00089_2;;C. 89;;;B;ARTCIC000089;;;;;Old Cham;;;;;;;;;;;;engraved;;36;;;;;;;;;;;;BEFEO IV, 946xvi.;Parmentier1909_01: 400.;;"coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
